"id","statuses_count","followers_count","friends_count","favourites_count","listed_count","retweet_count","reply_count","favorite_count","num_hashtags","num_urls","num_mentions"
"22903","164","132","194","12","4","7.49","0.23","0.03","0.17","0.05","0.70"
"24503","4340","5055","1466","267","256","1.89","0.46","0.16","0.19","0.28","0.90"
"286543","6892","930","535","478","28","103.53","0.12","0.16","0.31","0.36","0.64"
"382393","1070","1154","832","871","92","9.49","0.10","0.44","0.56","0.42","0.85"
"438023","2885","173","444","41","2","1.33","0.05","0.03","0.04","0.14","0.10"
"586003","216","97","234","2","0","62.89","0.15","0.07","0.78","0.42","1.17"
"628563","505","154","314","0","3","4.16","0.06","0.00","0.10","0.58","0.18"
"769985","1897","1100","975","68","39","1.55","0.14","0.24","0.56","0.22","0.55"
"2007021","3052","2254","2196","318","98","10.54","0.44","0.07","0.44","0.16","0.72"
"2731681","313","31","55","1","1","3.34","0.05","0.01","0.27","0.78","0.32"
"3610511","20370","5470","2385","145","52","8.99","0.06","0.02","0.15","0.89","0.50"
"3909541","2737","637","1853","214","7","1.02","0.08","0.02","0.11","0.03","0.41"
"5656162","3131","506","381","9","40","14.75","0.06","0.04","0.19","0.06","0.66"
"5682702","4024","264","87","323","16","35.86","0.27","0.12","0.16","0.16","0.79"
"5863152","3951","2842","1903","353","156","18.61","0.24","0.15","0.47","0.25","0.91"
"6015122","2016","62","64","13","0","27.97","0.04","0.00","0.11","0.26","0.37"
"6067292","40586","640","622","1118","32","19.07","0.24","0.09","0.11","0.20","0.51"
"6082972","3387","1335","727","73","17","1.44","0.20","0.15","0.39","0.24","0.50"
"6134312","1183","128","168","2","5","36.12","0.11","0.01","0.15","0.35","0.49"
"6140012","3603","138","179","53","1","9.33","0.21","0.07","0.74","0.05","0.78"
"6175692","60","13","67","0","0","45.97","0.12","0.02","0.08","0.22","0.67"
"6196392","1163","101","108","2","5","19.59","0.08","0.01","0.16","0.42","0.31"
"6618042","177","34","182","18","1","39.15","0.10","0.02","0.11","0.31","0.66"
"6677972","2201","335","1956","11","3","10.08","0.02","0.01","0.76","0.72","0.35"
"6684602","6194","1062","1770","597","5","5.47","0.21","0.89","0.16","0.09","0.33"
"7046912","10962","23368","958","590","715","14.02","0.62","0.36","0.54","0.29","1.54"
"7246122","1791","364","373","38","10","30.88","0.05","0.07","0.20","0.13","0.51"
"7470952","10947","760","712","693","27","15.01","0.38","0.11","0.43","0.18","1.05"
"7527052","3702","68","76","76","0","369.25","0.03","0.03","0.11","0.76","0.35"
"7773732","9623","3566","803","1574","153","27.51","0.52","0.54","0.57","0.25","1.29"
"8029522","2745","337","405","63","5","31.93","0.10","0.12","0.52","0.43","0.83"
"8072492","2754","477","218","224","13","4.77","0.03","0.05","0.06","0.02","0.29"
"8291932","26713","1390","1177","914","68","3.31","0.13","0.03","0.51","0.31","0.17"
"8858022","4111","314","338","47","8","279.72","0.03","0.01","0.24","0.71","0.76"
"8927532","1441","97","203","25","2","1.66","0.05","0.00","0.87","0.51","0.22"
"8933252","1698","289","1930","45","3","24.58","0.28","0.05","0.51","0.04","0.97"
"9011502","2423","842","38","0","49","16.20","0.03","0.08","0.49","0.21","0.70"
"9351052","402","93","78","36","4","167.56","0.08","0.01","0.53","0.30","0.77"
"9564632","16935","2242","918","44","124","4.50","0.45","0.14","0.53","0.32","1.59"
"9664862","227","89","126","0","1","36.23","0.08","0.00","0.13","0.07","0.25"
"9939012","9437","689","891","199","37","15.27","0.04","0.03","0.36","0.94","0.75"
"9993142","3742","505","571","100","3","13.54","0.27","0.07","0.67","0.11","1.13"
"10492262","770","81","181","89","2","9.47","0.18","0.08","0.72","0.08","0.82"
"11176152","1430","128","371","204","1","266.07","0.06","0.01","0.27","0.11","0.89"
"11990112","3570","1252","822","8","116","20.48","0.33","0.29","0.37","0.33","0.90"
"12179872","19122","4560","4307","510","230","3.79","0.23","0.19","0.43","0.52","0.92"
"12551742","7734","3300","311","151","164","9.45","0.33","0.41","0.78","0.43","1.24"
"12700622","1461","138","263","163","6","12.30","0.14","0.06","0.17","0.14","0.14"
"12765892","32","15","56","2","0","53.44","0.10","0.00","0.81","0.31","0.69"
"13260592","6996","899","305","346","28","17.08","0.11","0.05","0.84","0.32","1.17"
"13972932","6036","7841","584","91","405","36.04","0.48","0.43","0.07","0.41","0.84"
"14057516","3284","375","1039","1","8","31.13","0.12","0.02","0.50","0.22","0.82"
"14112759","160","46","146","22","0","43.99","0.19","0.11","1.15","0.20","0.76"
"14321616","1689","463","528","36","6","0.10","0.01","0.00","0.70","0.40","0.11"
"14443340","20366","1476","1069","237","94","2.89","0.42","0.15","0.27","0.59","0.87"
"14474989","575","47","22","6","2","0.08","0.02","0.02","0.12","0.10","0.10"
"14492555","292","57","110","5","0","3.36","0.21","0.05","0.88","0.26","0.62"
"14561441","894","100","186","0","2","1.17","0.05","0.00","0.06","0.72","0.41"
"14709812","5876","616","647","1061","29","310.37","0.20","0.03","0.50","0.43","1.07"
"14865840","7534","1132","1096","6","52","3.50","0.12","0.03","0.37","0.46","0.32"
"14867242","166","93","45","2","5","0.12","0.09","0.01","0.04","0.07","0.42"
"14958182","1294","254","276","89","8","50.63","0.20","0.06","0.38","0.14","0.41"
"15016610","6340","298","419","5","15","28.66","0.17","0.04","0.49","0.27","0.34"
"15271419","5472","6352","3873","65","11","3.01","0.36","0.25","1.18","0.22","0.74"
